,question,date,views,upvotes,answer
0,Have-you-ever-experienced-racism-from-a-liberal,2018-11-13 22:33:07,7069,1305,Any time I've heard: “Only white people can be racist.” “Enjoy your white privilege.” “Racism is in a white person's DNA. “ “Blacks have a right to loot and vandalize because of systemic inequities your people caused.” “You don't get to weigh in. You're a white male.” All of those statements are racist.
1,What-are-some-examples-of-institutional-racism-in-The-United-States,2017-11-29 20:23:33,31046,2150,"First, I want to check the dictionary to make sure I’m using “institutional racism” correctly: Ok. In that case, my answer fits the definition perfectly: The best public high schools in Chicago are called “selective enrollment” schools, because they do exactly that… selectively enroll students on a point system. Students are divided into four “tiers” based on the average income of the people on their block. The selective enrollment schools only take a certain number of students from each tier. Here is a map of the “tiers.” The green areas of the map are “tier 4” neighborhoods. The red areas are “tier 1” neighborhoods. Here are the scores needed to get into one of the best selective enrollment high schools in Chicago: A 900 is the best possible score. A student from a tier 4 neighborhood had to score 889 out of 900 to get into this school, but a student from a tier 1 neighborhood only had to score an 816 to get in. So that’s the “institutional” part. Now let’s look at the “racism” part. Here’s a map of Chicago demographics: If you were to overlay those two maps, you’d see an almost perfect correlation between CPS tier ranking and predominant race on the block. That’s an institution (Chicago Public Schools) using a metric to judge students that is de facto race-based. That is institutional racism. Before the tier system was established, it actually was completely based on race. But they got sued and changed it to “socio-economic status” which, in Chicago, aligns heavily with race. Yes, I know, the reason socio-economic status aligns with race in Chicago is because of generations of institutional racism in the past. The city is using this new institutional racism to try and correct the institutional racism of the past. I get it. I’m not even saying it’s wrong. I know why they do it. I’m just saying that it’s a textbook example of institutional racism: an organization that treats people from different races differently, and it’s considered normal and rarely questioned."
2,What-are-some-examples-of-systemic-racism,2020-06-27 05:50:52,20767,826,"Warning— This answer would be somewhat unconventional and uncomfortable. This   is, an often ignored example of Systemic racism. This bar-chart presents a demographics of gay men in USA. The discrepancy can  not  be ignored. There’s no biological theory that suggests black men are less likely to be gay. It is only natural that at least 10–12% of all gay men would be, ethnically black (given the fact US has 13% black population). But the statistics do  not  match that expectation. Why? The reason is purely social. Black men are less likely to come out. Black gay men are less likely to accept themselves. As a broader community, African-americans enjoy less exposure and less opportunities towards societal liberation and enlightenment. There’s a reason — why DL culture  is prevalent in the African-American communities. This ‘lack of liberation/enlightenment’ on a broader ‘community-level’, due to societal factors perpetuate into sexual practices and access to relevant healthcare. It imposes additional dangers to men of color. That is precisely why, despite being a statistical minority, African americans are significantly more affected by HIV. Statistically, black men are more than 10 times more likely  to be infected by HIV. Moral of the story — Systemic racism exists, and it hurts in more ways than we can imagine."
3,Do-you-agree-that-black-people-cant-be-racist-Since-only-Africans-were-colonized-can-they-be-racists,2017-04-02 21:32:09,32585,2382,"No. Not only do I disagree; I actually find this extremely insulting. I’m not your noble savage; I am an individual with a sense of agency. My race is not deterministic of my behavior. There are white people I have power over. I could discriminate against them to favor blacks; I don’t. And it’s not because I’m incapable of being racist or feeling racial resentment. But, but , I hear you say,  racism only means systemic racism. And black people don’t have the power to enact systemic racism against others. So, however you define it, black people can exhibit racism."
4,Is-Indias-perception-of-the-caste-system-similar-to-Americas-perception-of-racism,2017-09-08 02:46:39,47067,2325,"In the US, racism is quite literally black and white. Those who have had a black ancestor is considered black and most others are white. Racism relies on the majority power there. In India, caste system is a continuum. Brahmins think they are superior to the Kshatriyas. The Kshatriyas rather than being offended are happy to be above the Vaishyas. And the Vaishyas have little issues with this as they are above the Shudras. And the Shudras have not complained as much either as they have dominated over a spectrum of “outcastes”. The more dominant of the outcastes discriminate the bottom part of the depressed castes. And the tribals are discriminated by outcastes. If it were a simple case of one caste dominating over the other, the thing would have been solved a long time ago. Unlike in the US, the upper most castes are very small minority and didn’t have much political power in the past. However, the spectrum allows almost every caste to have a dominant position in relation to some other caste. While they complain about the caste above, they are quite reluctant to release their hegemony over the caste below. A while ago a friend of mine was debating with me on the caste system. I argued that these hierarchies are meaningless. As he pushed on, I cited the example of Lord Krishna who was raised as a Shudra and was as holy as any other God. These caste divisions are crazy. For that he got offended saying that Krishna belonged to his caste [Yadav] and they were not Shudras and the one above them. And these are liberally mixed with economic classes, religious beliefs, ethnicities and language - the caste system is not standing alone but bolstered by several other systems. And a lot of the caste discrimination and chaos occurs in the middle. The Backward Castes [BC] of a slightly progressive state like Tamil Nadu, rather than fighting to remove the caste evils imposed on them often prey on the castes lower than them. Thus, the Vanniyars and Pallars fight in the north while Thevars and Parayars fight in the south -  Tamil Nadu’s caste fields: In 1 year, over 100 murders in two southern districts   . None of these castes are upper castes in an absolute sense, however in a spectrum of castes they are above someone. Somewhat similar happen in Maharashtra between the middle caste Marathas and the Mahars - a slightly well-off among the Scheduled Castes. In the US, it is quite clear to all blacks that racism and slavery is evil. However, in India most people of the depressed castes including many Dalits refuse to give up the caste system or fight it straight as they too have someone to dominate over. While they would want the shackles imposed by those higher to be removed they don’t want that to be at the cost of removing shackles they impose on those lower than them. Caste system and its discrimination are not easy to remove because most of us are in denial - we try to find quick scapegoats, but refuse to see that almost every community is intent on keeping the caste system for their own benefits."
5,When-people-insist-that-the-US-is-a-systemically-racist-country-are-they-saying-that-racism-has-spread-and-permeated-widely-throughout-the-system-as-in-systemic-cancer-or-are-they-saying-something-else,2020-11-04 02:26:57,3539,427,"As I understand it, it means that past racism has influenced the way the system is set up, so that racism continues to have ongoing influence even when people are not being intentionally racist. For example, up until the 1960s it was perfectly legal, and common, for black people to be barred from buying houses in nice areas even if they could afford to live there, so they were corralled into poor areas which were then provided with poor schools. That has a long-term knock-on effect, because people who are 30 now have parents who went to those poor schools and lived in those poor areas, and many still *are* stuck in poor areas because they didn’t inherit a nice house from their parents - it takes a while for families and communities to catch up on that initial shortfall."
6,Why-is-White-America-so-afraid-of-Colin-Kaepernicks-protest,2018-02-17 16:46:50,17379,2452,"They aren’t afraid at all. They are perplexed. He is a study in contradictory narratives, and clueless to the hypocrisy of it all."
7,Some-people-say-peaceful-protesters-should-be-distinguished-from-arsonists-looters-violent-rioters-and-police-attackers-Then-why-do-people-taint-the-entire-police-force-as-racists-not-distinguishing-bad-police,2020-06-14 17:48:59,7845,812,"People who “taint the entire police force as racists” are making an error. Most people aren’t saying that, though. We’re saying that there is  systemic racism in the justice system, and particularly in the police . That  doesn’t  mean “all police are racist”. Quite the contrary, it means that the system is designed so there are incentives that tend to produce racist  outcomes  even when many people working in the system are not intentionally racist."
8,Is-there-such-thing-as-discrimination-racism-against-white-people,2021-02-02 06:59:26,3833,343,That’s the weird thing about racism…it knows no color. The only ingredient for racism is at least two people of different races and a hateful attitude by one. Any skin tone can be racist. Not having systemic power doesn’t excuse hateful acts to another race. You can be racist and have no power at all. The answer to your question is YES.
9,What-is-racist-but-is-often-regarded-as-not-racist,2017-12-17 16:26:06,18468,2588,
10,What-do-lawyers-think-of-systemic-racism,2020-06-24 17:36:55,2612,238,"I’m against it. In fact, I’ll stick my neck out a bit and say that I’m  really  against systemic racism."
11,As-a-conservative-what-do-you-think-about-this-article-Dear-white-people-your-dictionary-definition-of-racism-is-wrong,2018-07-02 00:14:23,7544,744,"As a conservative what do you think about this article ""Dear white people your dictionary definition of racism is wrong?"" Dear White People, Your ""Dictionary Definition"" of Racism is Wrong   Well, if the title of the article itself didn’t tell me all I needed to know, this gem right here sealed the deal. Racism is not “systemic”. We actually have a phrase to describe systemic racism. It’s “systemic racism”. From  One would think that the definition of racism were simple. If we consult the Oxford English Dictionary, racism is defined as This seems pretty straightforward. If you believe one race is intrinsically superior or inferior to others, that is racism. If you believe that all members of a race share intrinsic characteristics, that is also racism. So the belief by the Nazis that the Aryan race was superior to all others is clearly racist. As is the belief that all Mexicans are lazy. Even the idea that all Asians are good at math is racist. This common definition of racism has been in use since 1902, when it replaced the earlier terms “racialism” [1]. This lexical definition is the one that most English speakers are familiar with, and the one that they use. Prejudice plus Power A new and pervasive mis-definition of racism in use today is that racism is prejudice  plus  power. This new  stipulative  definition was coined by Patricia Bidol in 1972 [2],  Developing New Perspectives on Race: An Innovative Multi-media Social Studies Curriculum in Racism Awareness for the Secondary Level. This definition, which appears to have been a technical definition of use when discussing sociology in a specific, limited context, has escaped academia and is now used in some circles as the sole definition of racism. This has led to the ridiculous, and ironically racist, idea that only white people can be racist, but one cannot racist  against  white people. “Racism is prejudice plus power. On the basis of this definition, while all people can be prejudiced, only those who have power are really racist. African Americans, Latinos, Asians and American Indians, the powerless in American society, can be and often are most prejudiced toward Whites on an individual basis, but they are not racists at the structural, institutional level. Within this understanding of racism, to be a racist you have to possess two things: 1) socioeconomic power to force others to do what you desire even if they don't want to, and 2), the justification of this power abuse by an ideology of biological supremacy. Keep in mind that what often is described as racism in society today, is really nothing more than prejudice and discrimination. While a Black or Latino person, through the use of a gun and/or intimidation, can force a White person to do as he, as an individual, desires, this is an individual act of aggression, not a socially structured power arrangement. At present, however, only Whites have that kind of power, reinforced by a belief in an ideology of supremacy, both of which constitute the basis of racism in America today.” [3] By this strained and abused concept of racism, I’m left wondering, if I were to kidnap the Grand High Putz of the Klu Klux Klan, and drop him off in say, Kenya or China, would he still be racist? By the definition of prejudice plus power, no, he wouldn’t. For myself, I believe that he’d still be racist no matter where he is, due to his beliefs, not his power or lack thereof. Racism as prejudice plus power is a very narrow definition that is highly technical and applicable to a certain study of sociology. In that narrow context, the definition works, as a study of societies as a whole. However, the term is blatantly misused now to describe individuals. The problem here is the difference between theory in the scientific sense and theory in the general sense. Most people only know one definition, and don’t understand when it’s misused in a different context. Further, many of the very people who purport to be fighting racism are profoundly racist themselves against even people who are  not  white. The obsession with labels and cultural appropriation forces people into a very narrow path based on nothing more than their race and native culture. Frankly, in addition to be incredibly oppressive it shows a blinding ignorance of other cultures. References 1. Oxford English Dictionary 2.  https://books.google.co.uk/books...   3. The Undergirding Factor is POWER Toward an Understanding of Prejudice and Racism, By Caleb Rosado Department of Urban Studies Eastern University Philadelphia, PA,  http://www.edchange.org/multicul...   Furthermore, I have yet to read anything titled “Dear White People…” that isn’t itself racist. It’s a naked excuse for non-white folk to be racist bigots, but excuse their behavior as somehow not exactly what it is. The ironic part is, it is itself racist, no matter who it comes from. If it’s brown people making the claim, it’s racist and abusive gaslighting. “No, I’m not the racist, you are!”. From white people, it’s the soft bigotry of low-expectations. Evidently brown people aren't civilized enough to be held to the same standard as white people, and so get a free pass on being racist. Look, either you’re equal and held to the same standards as everyone, or you’re not."
12,Why-did-the-police-in-Kenosha-let-an-underage-boy-circulate-with-a-firearm-and-didnt-even-attempt-to-check-on-him-after-the-shooting-Is-it-incompetence,2020-08-29 12:35:14,4106,517,"Incompetence, yes, but more so, blatant racism. When they asked for 200 National Guards to be brought in because they were afraid and unable to deal with a legal protest over their incompetence and racism, that was further incompetence. When they refused to investigate gun fire in the night or ask the guard to look into it, that was incompetence tinged with racism. When they were preferential to “militias” over the diverse National Guard, that was racism tinted with incompetence. When they treated black and white participants in the deadly event so differently, that was just plain racism. The Kenosha police cover the whole spectrum of gross incompetence (itself a side effect of white privilege in this case) and deadly, systemic racism, with special immunity. Extra points for a chief that goes straight to victim blaming. I bet next, their union will demand a raise."
13,What-are-your-thoughts-on-how-we-can-end-systematic-racism-in-the-US,2020-09-09 07:27:38,982,218,We need to abolish affirmative action. Affirmative action is an example of actual systemic racism. What are your thoughts on how we can end systematic racism in the US?
14,Should-the-class-system-be-eventually-abolished-in-the-UK-Is-the-US-style-society-a-better-model-for-the-British,2019-11-20 12:21:32,6695,199,"Consider first the beam in your own eye. The US should abolish racism before it comes after the UK for the class system. Like the US race system, the UK class system has no organisation running, no laws that enforce it. In fact, like racism, there are laws against it, that don’t always work. The US has more of a class system than the UK. But it is based on a combination of race, religion and money, as opposed to the UK’s very weak ancestry based one. when a gay black atheist whose unmarried parents were share croppers has the same opportunity as a straight white member of a “good” church whose parents were Ivy League, I will admit that the US has no class system."
15,Is-the-USA-the-most-racist-country-in-the-world,2018-03-21 16:09:08,38202,2683,"As an immigrant, I’m going to say that the answer to this is a strong no. In the US, a large segment of the population is aware that racism is bad. Even people who hold racist opinions have a negative opinion of racism. This is why so many of them feel the need to preface their comments with “I’m not racist, but…” This kind of awareness that bigotry in the abstract, as opposed to bigotry directed against one’s own group, is a bad thing is really rare elsewhere in the world. The kind of prejudice that you encounter on a daily basis in many countries of the world has no sense of shame. People will be subjected to intense mockery for nothing more than having an accent. People will casually mention in polite society that immigrants from Haiti or Lebanon or Liberia or Ghana or Nigeria or Poland or Korea or India or Turkey or wherever else are ruining their host nation, and they’ll do so without batting an eye. Legally enforced discrimination will be placed on foreign national and their descendants without ever being questioned. If a person from an immigrant community commits a crime, there can easily be riots against all members of that community. In the US, it was possible for a Black man to be president! It wasn’t accepted by all the population, to be sure, but you’re not going to see that happen in France, Germany, Brazil, or Japan any time soon. The racism that exists in the US generally takes two forms: There are other forms of racism, of course, but these are the two that have an impact on a person’s socioeconomic prospects. I would say that, compared to what I have observed and read about elsewhere, American structural racism is relatively mild. And face-to-face racism is largely frowned upon. People can even lose their job for making a racist comment on air. You’re certainly not going to see that in very many other places. Of course, the election of Trump shows that large segments of the American public are not bothered by racism. But, as a non-White immigrant, I feel that I am treated much better here than I would be in most other places."
16,What-bothers-you-the-most-about-racism,2017-04-22 21:43:09,20365,1578,"(Please read all of this before you start with the hateful comments. I admit in it that racism exists, and that it’s wrong. I’m not denying that. Lots of things bother me about racism. But the question is: What bothers you the MOST about racism. So here it goes…) What bothers me the most about racism? That the political left in the US uses it to try and silence their opposition. It worked for awhile too, but then people started to see through it and now it’s not as effective as it used to be in getting people who disagree with you to “sit down and shut up”. Which is part of the reason why the left has found new insults to hurl at someone to silence them: “sexist”, “homophobe”, etc… And when they had a hard time finding actual racist individuals, the left began with their “institutional racism” spiel. It’s the perfect form of racism for their needs, because it implies that people are guilty of it just by being born into the system. A white person can’t do anything to prove that they aren’t racist anymore, because the entire “institutions” are racist. And that’s why so many whites have just given up trying to appear non-racist, particularly on the political right in this country. Just look at Trump’s cabinet. Mostly white guys. Why? Because the left is going to call him a racist no matter what he does, so why bother trying to appease them? Get who he thinks is the best person for the job, without any consideration for race or gender. Here’s a prediction: every person who runs for every position on the Republican ticket in the next election is going to be labelled as “racist”. Even if the person isn’t white. They will be called a “self-hating racist”. The word’s been thrown around so often that it’s lost its effectiveness. In the past, calling someone a racist might have gotten a response of: “No I’m not, and I can prove that I’m not!” Now, the most likely response is: “Whatever, Believe what you want about me. I don’t need to prove anything. I know the truth.” I’m not saying racism doesn’t exist. And I’m not saying it’s not wrong. It does exist. It is wrong. It’s also wrong to see racism EVERYWHERE, even when it’s not there, and to use it to your advantage. The truth is, politically, like many issues the left likes to champion (women’s rights, gay rights, etc…) they know that the worst thing that can happen for them is for those issues to actually get resolved. They NEED those issues to stay alive. They NEED people to think things are as bad now as they were in the 1950s for women and minorities. If people felt like everyone was treated equally, what would the left run on?"
17,Who-has-had-an-experience-with-a-non-white-racist,2017-11-17 15:28:55,10862,857,"I do, often. Especially as of late. The following conversation is one I had with  drumroll  someone on YouTube. I posted a comment on a video about 10 things black people demand from white people, something along those lines. Me: I find this whole thing ridiculous. You're telling white people who inherit homes to give them up supposedly because black people cant work to earn one on their own. Isn't that racism itself? YouTuber: No it's not racism!! Thanks to slavery and Jim Crow, black people are at a disadvantage. Ever heard of systemic racism??!! Me: Yes I have and I have yet to see an example of systemic racism in modern day America. YouTuber: Nigga you don't know shit! Don't you know about discrimination against black people getting houses back then?? RED LINING???!!! Me: Yes I have and that happened decades ago and once red lining stopped, there was a program that just gave home loans away that weren't required to be paid back and it failed miserably. (I forget the name of the program) YouTuber: Bruh, you ain't nothin but a sell out ass house nigga! You a mothafuckin traitor to your race and you need to be murked, fuck you! I tried my best to lower my grammar down to the level of the person, but it was actually pretty hard. So yeah. Every race has their bad bunch but in my entire life, the ONLY race I've ever experienced any racism from period, is black people. Black people seem to really hate me."
